Year,Month,Day,CheungChau,HongKongInternationalAirport,HongKongObservatory,KaiTak,KauSaiChau,KingsPark,LauFauShan,PengChau,ShaTin,ShamShuiPo,ShauKeiWan,ShekKong,SheungShui,TaiMeiTuk,TaiMoShan,TatesCairn,TauKwuLing,ThePeak,TsahYueWu,TseungKwanO,TsingYi,TsuenWan,TuenMum ChildrenAndJuvenileHome,WaglanIsland,WestLandPark,Average_Rainfall
1884,3.0,19.0,,,14.4,,,,,,,,,,,,,,,,,,,,,,,14.4
1884,3.0,20.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,3.0,21.0,,,7.6,,,,,,,,,,,,,,,,,,,,,,,7.6
1884,3.0,22.0,,,25.9,,,,,,,,,,,,,,,,,,,,,,,25.9
1884,3.0,23.0,,,10.3,,,,,,,,,,,,,,,,,,,,,,,10.3
1884,3.0,24.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,3.0,25.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,3.0,26.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,3.0,27.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,3.0,28.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,3.0,29.0,,,0.9,,,,,,,,,,,,,,,,,,,,,,,0.9
1884,3.0,30.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,3.0,31.0,,,19.5,,,,,,,,,,,,,,,,,,,,,,,19.5
1884,4.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,4.0,2.0,,,12.0,,,,,,,,,,,,,,,,,,,,,,,12.0
1884,4.0,3.0,,,3.3,,,,,,,,,,,,,,,,,,,,,,,3.3
1884,4.0,4.0,,,15.3,,,,,,,,,,,,,,,,,,,,,,,15.3
1884,4.0,5.0,,,0.5,,,,,,,,,,,,,,,,,,,,,,,0.5
1884,4.0,6.0,,,0.3,,,,,,,,,,,,,,,,,,,,,,,0.3
1884,4.0,7.0,,,3.9,,,,,,,,,,,,,,,,,,,,,,,3.9
1884,4.0,8.0,,,0.8,,,,,,,,,,,,,,,,,,,,,,,0.8
1884,4.0,9.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,4.0,10.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,4.0,11.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,4.0,12.0,,,35.3,,,,,,,,,,,,,,,,,,,,,,,35.3
1884,4.0,13.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,4.0,14.0,,,7.3,,,,,,,,,,,,,,,,,,,,,,,7.3
1884,4.0,15.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,4.0,16.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,4.0,17.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,4.0,18.0,,,2.2,,,,,,,,,,,,,,,,,,,,,,,2.2
1884,4.0,19.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0
1884,4.0,20.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,4.0,21.0,,,18.5,,,,,,,,,,,,,,,,,,,,,,,18.5
1884,4.0,22.0,,,0.4,,,,,,,,,,,,,,,,,,,,,,,0.4
1884,4.0,23.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,4.0,24.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,4.0,25.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,4.0,26.0,,,5.8,,,,,,,,,,,,,,,,,,,,,,,5.8
1884,4.0,27.0,,,27.7,,,,,,,,,,,,,,,,,,,,,,,27.7
1884,4.0,28.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,4.0,29.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,4.0,30.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,5.0,1.0,,,67.2,,,,,,,,,,,,,,,,,,,,,,,67.2
1884,5.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,5.0,3.0,,,3.4,,,,,,,,,,,,,,,,,,,,,,,3.4
1884,5.0,4.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,5.0,5.0,,,0.9,,,,,,,,,,,,,,,,,,,,,,,0.9
1884,5.0,6.0,,,4.3,,,,,,,,,,,,,,,,,,,,,,,4.3
1884,5.0,7.0,,,1.6,,,,,,,,,,,,,,,,,,,,,,,1.6
1884,5.0,8.0,,,0.3,,,,,,,,,,,,,,,,,,,,,,,0.3
1884,5.0,9.0,,,13.5,,,,,,,,,,,,,,,,,,,,,,,13.5
1884,5.0,10.0,,,33.3,,,,,,,,,,,,,,,,,,,,,,,33.3
1884,5.0,11.0,,,29.8,,,,,,,,,,,,,,,,,,,,,,,29.8
1884,5.0,12.0,,,3.3,,,,,,,,,,,,,,,,,,,,,,,3.3
1884,5.0,13.0,,,0.5,,,,,,,,,,,,,,,,,,,,,,,0.5
1884,5.0,14.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,5.0,15.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,5.0,16.0,,,0.4,,,,,,,,,,,,,,,,,,,,,,,0.4
1884,5.0,17.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,5.0,18.0,,,16.8,,,,,,,,,,,,,,,,,,,,,,,16.8
1884,5.0,19.0,,,4.4,,,,,,,,,,,,,,,,,,,,,,,4.4
1884,5.0,20.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,5.0,21.0,,,0.3,,,,,,,,,,,,,,,,,,,,,,,0.3
1884,5.0,22.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,5.0,23.0,,,3.6,,,,,,,,,,,,,,,,,,,,,,,3.6
1884,5.0,24.0,,,0.4,,,,,,,,,,,,,,,,,,,,,,,0.4
1884,5.0,25.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0
1884,5.0,26.0,,,0.2,,,,,,,,,,,,,,,,,,,,,,,0.2
1884,5.0,27.0,,,0.7,,,,,,,,,,,,,,,,,,,,,,,0.7
1884,5.0,28.0,,,39.6,,,,,,,,,,,,,,,,,,,,,,,39.6
1884,5.0,29.0,,,3.7,,,,,,,,,,,,,,,,,,,,,,,3.7
1884,5.0,30.0,,,0.3,,,,,,,,,,,,,,,,,,,,,,,0.3
1884,5.0,31.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,6.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,6.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,6.0,3.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,6.0,4.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,6.0,5.0,,,14.6,,,,,,,,,,,,,,,,,,,,,,,14.6
1884,6.0,6.0,,,4.4,,,,,,,,,,,,,,,,,,,,,,,4.4
1884,6.0,7.0,,,0.1,,,,,,,,,,,,,,,,,,,,,,,0.1
1884,6.0,8.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,6.0,9.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,6.0,10.0,,,0.6,,,,,,,,,,,,,,,,,,,,,,,0.6
1884,6.0,11.0,,,8.1,,,,,,,,,,,,,,,,,,,,,,,8.1
1884,6.0,12.0,,,22.4,,,,,,,,,,,,,,,,,,,,,,,22.4
1884,6.0,13.0,,,20.7,,,,,,,,,,,,,,,,,,,,,,,20.7
1884,6.0,14.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,6.0,15.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,6.0,16.0,,,2.8,,,,,,,,,,,,,,,,,,,,,,,2.8
1884,6.0,17.0,,,24.4,,,,,,,,,,,,,,,,,,,,,,,24.4
1884,6.0,18.0,,,8.5,,,,,,,,,,,,,,,,,,,,,,,8.5
1884,6.0,19.0,,,14.5,,,,,,,,,,,,,,,,,,,,,,,14.5
1884,6.0,20.0,,,34.2,,,,,,,,,,,,,,,,,,,,,,,34.2
1884,6.0,21.0,,,13.1,,,,,,,,,,,,,,,,,,,,,,,13.1
1884,6.0,22.0,,,0.1,,,,,,,,,,,,,,,,,,,,,,,0.1
1884,6.0,23.0,,,0.8,,,,,,,,,,,,,,,,,,,,,,,0.8
1884,6.0,24.0,,,27.3,,,,,,,,,,,,,,,,,,,,,,,27.3
1884,6.0,25.0,,,4.1,,,,,,,,,,,,,,,,,,,,,,,4.1
1884,6.0,26.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,6.0,27.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,6.0,28.0,,,6.9,,,,,,,,,,,,,,,,,,,,,,,6.9
1884,6.0,29.0,,,7.2,,,,,,,,,,,,,,,,,,,,,,,7.2
1884,6.0,30.0,,,65.7,,,,,,,,,,,,,,,,,,,,,,,65.7
1884,7.0,1.0,,,28.5,,,,,,,,,,,,,,,,,,,,,,,28.5
1884,7.0,2.0,,,24.2,,,,,,,,,,,,,,,,,,,,,,,24.2
1884,7.0,3.0,,,13.7,,,,,,,,,,,,,,,,,,,,,,,13.7
1884,7.0,4.0,,,13.1,,,,,,,,,,,,,,,,,,,,,,,13.1
1884,7.0,5.0,,,0.8,,,,,,,,,,,,,,,,,,,,,,,0.8
1884,7.0,6.0,,,3.7,,,,,,,,,,,,,,,,,,,,,,,3.7
1884,7.0,7.0,,,22.5,,,,,,,,,,,,,,,,,,,,,,,22.5
1884,7.0,8.0,,,9.1,,,,,,,,,,,,,,,,,,,,,,,9.1
1884,7.0,9.0,,,0.4,,,,,,,,,,,,,,,,,,,,,,,0.4
1884,7.0,10.0,,,2.8,,,,,,,,,,,,,,,,,,,,,,,2.8
1884,7.0,11.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,7.0,12.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,7.0,13.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,7.0,14.0,,,0.2,,,,,,,,,,,,,,,,,,,,,,,0.2
1884,7.0,15.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,7.0,16.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,7.0,17.0,,,6.9,,,,,,,,,,,,,,,,,,,,,,,6.9
1884,7.0,18.0,,,2.5,,,,,,,,,,,,,,,,,,,,,,,2.5
1884,7.0,19.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,7.0,20.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,7.0,21.0,,,94.1,,,,,,,,,,,,,,,,,,,,,,,94.1
1884,7.0,22.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,7.0,23.0,,,5.1,,,,,,,,,,,,,,,,,,,,,,,5.1
1884,7.0,24.0,,,57.2,,,,,,,,,,,,,,,,,,,,,,,57.2
1884,7.0,25.0,,,11.1,,,,,,,,,,,,,,,,,,,,,,,11.1
1884,7.0,26.0,,,2.7,,,,,,,,,,,,,,,,,,,,,,,2.7
1884,7.0,27.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,7.0,28.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,7.0,29.0,,,8.7,,,,,,,,,,,,,,,,,,,,,,,8.7
1884,7.0,30.0,,,13.5,,,,,,,,,,,,,,,,,,,,,,,13.5
1884,7.0,31.0,,,11.5,,,,,,,,,,,,,,,,,,,,,,,11.5
1884,8.0,1.0,,,0.4,,,,,,,,,,,,,,,,,,,,,,,0.4
1884,8.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,8.0,3.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,8.0,4.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,8.0,5.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,8.0,6.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,8.0,7.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,8.0,8.0,,,5.1,,,,,,,,,,,,,,,,,,,,,,,5.1
1884,8.0,9.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,8.0,10.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,8.0,11.0,,,5.4,,,,,,,,,,,,,,,,,,,,,,,5.4
1884,8.0,12.0,,,5.1,,,,,,,,,,,,,,,,,,,,,,,5.1
1884,8.0,13.0,,,45.7,,,,,,,,,,,,,,,,,,,,,,,45.7
1884,8.0,14.0,,,26.8,,,,,,,,,,,,,,,,,,,,,,,26.8
1884,8.0,15.0,,,58.4,,,,,,,,,,,,,,,,,,,,,,,58.4
1884,8.0,16.0,,,25.8,,,,,,,,,,,,,,,,,,,,,,,25.8
1884,8.0,17.0,,,0.6,,,,,,,,,,,,,,,,,,,,,,,0.6
1884,8.0,18.0,,,5.1,,,,,,,,,,,,,,,,,,,,,,,5.1
1884,8.0,19.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,8.0,20.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,8.0,21.0,,,7.0,,,,,,,,,,,,,,,,,,,,,,,7.0
1884,8.0,22.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,8.0,23.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,8.0,24.0,,,15.3,,,,,,,,,,,,,,,,,,,,,,,15.3
1884,8.0,25.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,8.0,26.0,,,4.1,,,,,,,,,,,,,,,,,,,,,,,4.1
1884,8.0,27.0,,,27.2,,,,,,,,,,,,,,,,,,,,,,,27.2
1884,8.0,28.0,,,27.9,,,,,,,,,,,,,,,,,,,,,,,27.9
1884,8.0,29.0,,,3.7,,,,,,,,,,,,,,,,,,,,,,,3.7
1884,8.0,30.0,,,11.4,,,,,,,,,,,,,,,,,,,,,,,11.4
1884,8.0,31.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,9.0,1.0,,,0.6,,,,,,,,,,,,,,,,,,,,,,,0.6
1884,9.0,2.0,,,0.1,,,,,,,,,,,,,,,,,,,,,,,0.1
1884,9.0,3.0,,,0.3,,,,,,,,,,,,,,,,,,,,,,,0.3
1884,9.0,4.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,9.0,5.0,,,0.1,,,,,,,,,,,,,,,,,,,,,,,0.1
1884,9.0,6.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,9.0,7.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,9.0,8.0,,,13.7,,,,,,,,,,,,,,,,,,,,,,,13.7
1884,9.0,9.0,,,1.6,,,,,,,,,,,,,,,,,,,,,,,1.6
1884,9.0,10.0,,,141.9,,,,,,,,,,,,,,,,,,,,,,,141.9
1884,9.0,11.0,,,108.1,,,,,,,,,,,,,,,,,,,,,,,108.1
1884,9.0,12.0,,,25.8,,,,,,,,,,,,,,,,,,,,,,,25.8
1884,9.0,13.0,,,1.8,,,,,,,,,,,,,,,,,,,,,,,1.8
1884,9.0,14.0,,,0.3,,,,,,,,,,,,,,,,,,,,,,,0.3
1884,9.0,15.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,9.0,16.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,9.0,17.0,,,1.3,,,,,,,,,,,,,,,,,,,,,,,1.3
1884,9.0,18.0,,,3.7,,,,,,,,,,,,,,,,,,,,,,,3.7
1884,9.0,19.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,9.0,20.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,9.0,21.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,9.0,22.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,9.0,23.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,9.0,24.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,9.0,25.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,9.0,26.0,,,0.3,,,,,,,,,,,,,,,,,,,,,,,0.3
1884,9.0,27.0,,,12.8,,,,,,,,,,,,,,,,,,,,,,,12.8
1884,9.0,28.0,,,2.1,,,,,,,,,,,,,,,,,,,,,,,2.1
1884,9.0,29.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,9.0,30.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,10.0,1.0,,,34.2,,,,,,,,,,,,,,,,,,,,,,,34.2
1884,10.0,2.0,,,24.3,,,,,,,,,,,,,,,,,,,,,,,24.3
1884,10.0,3.0,,,3.6,,,,,,,,,,,,,,,,,,,,,,,3.6
1884,10.0,4.0,,,0.7,,,,,,,,,,,,,,,,,,,,,,,0.7
1884,10.0,5.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,10.0,6.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,10.0,7.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,10.0,8.0,,,3.8,,,,,,,,,,,,,,,,,,,,,,,3.8
1884,10.0,9.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,10.0,10.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,10.0,11.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0
1884,10.0,12.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,10.0,13.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,10.0,14.0,,,5.1,,,,,,,,,,,,,,,,,,,,,,,5.1
1884,10.0,15.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,10.0,16.0,,,1.1,,,,,,,,,,,,,,,,,,,,,,,1.1
1884,10.0,17.0,,,2.8,,,,,,,,,,,,,,,,,,,,,,,2.8
1884,10.0,18.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,10.0,19.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,10.0,20.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,10.0,21.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,10.0,22.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,10.0,23.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,10.0,24.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,10.0,25.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,10.0,26.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,10.0,27.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,10.0,28.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,2.0
1884,10.0,29.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,10.0,30.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,10.0,31.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,11.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,11.0,2.0,,,4.1,,,,,,,,,,,,,,,,,,,,,,,4.1
1884,11.0,3.0,,,23.4,,,,,,,,,,,,,,,,,,,,,,,23.4
1884,11.0,4.0,,,2.1,,,,,,,,,,,,,,,,,,,,,,,2.1
1884,11.0,5.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,11.0,6.0,,,3.7,,,,,,,,,,,,,,,,,,,,,,,3.7
1884,11.0,7.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,11.0,8.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,11.0,9.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,11.0,10.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,11.0,11.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,11.0,12.0,,,1.8,,,,,,,,,,,,,,,,,,,,,,,1.8
1884,11.0,13.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,11.0,14.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,11.0,15.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,11.0,16.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,11.0,17.0,,,0.1,,,,,,,,,,,,,,,,,,,,,,,0.1
1884,11.0,18.0,,,2.3,,,,,,,,,,,,,,,,,,,,,,,2.3
1884,11.0,19.0,,,0.5,,,,,,,,,,,,,,,,,,,,,,,0.5
1884,11.0,20.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,11.0,21.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,11.0,22.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,11.0,23.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,11.0,24.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,11.0,25.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,11.0,26.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,11.0,27.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,11.0,28.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,11.0,29.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,11.0,30.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,12.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,12.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,12.0,3.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,12.0,4.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,12.0,5.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,12.0,6.0,,,0.025,,,,,,,,,,,,,,,,,,,,,,,0.025
1884,12.0,7.0,,,0.025,,,,,,,,,,,,,,,,,,,,,,,0.025
1884,12.0,8.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,12.0,9.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,12.0,10.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,12.0,11.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,12.0,12.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,12.0,13.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,12.0,14.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,12.0,15.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,12.0,16.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,12.0,17.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,12.0,18.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,12.0,19.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,12.0,20.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,12.0,21.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,12.0,22.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,12.0,23.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,12.0,24.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,12.0,25.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,12.0,26.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,12.0,27.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,12.0,28.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,12.0,29.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,12.0,30.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1884,12.0,31.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1885,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1885,1.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1885,1.0,3.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1885,1.0,4.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1885,1.0,5.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1885,1.0,6.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1885,1.0,7.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1885,1.0,8.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
1885,1.0,9.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
